(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
	Legacy Shaders/Diffuse (7488 verts): 
		bench (15) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (7) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (4) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (22) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (5) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (21) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (19) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (3) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (20) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (23) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (12) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (14) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (17) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (16) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (11) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (24) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (18) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (10) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (13) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (2) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (26) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (8) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (9) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (6) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
		bench (25) (288 verts)	-1	False	False	False	2	[brown (UnityEngine.Material)] [mat_042 (UnityEngine.Material)] 	
	Legacy Shaders/Self-Illumin/Diffuse,Standard (5280 verts): 
		StreetLight (7) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (12) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (27) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (29) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (17) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (16) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (11) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (28) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (33) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (23) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (10) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (4) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (26) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
		StreetLight (15) (108 verts)	-1	False	False	False	2	[gray (UnityEngine.Material)] [lamp (UnityEngine.Material)] 	
